date,Trump,Cruz,Rubio,Kasich,Carson,Bush,Christie,Fiorina,Gilmore,Huckabee,Paul,Santorum,Undecided
2016-01-03,36.200722222222225,18.045944444444444,13.168722222222222,3.213111111111111,8.452777777777778,5.197,3.1756111111111114,2.3561111111111113,0.023333333333333334,1.6166666666666667,1.7281666666666669,0.7672222222222221,6.054611111111125
2016-01-06,38.216833333333334,17.472055555555556,11.449833333333332,3.3350555555555554,7.962777777777776,5.278944444444445,3.0114444444444444,1.841111111111111,0.03333333333333333,1.73,3.2590000000000003,0.8397222222222221,5.569888888888889
2016-01-07,35.91972222222222,19.5675,13.466944444444444,3.2869444444444444,9.001666666666667,3.6691666666666665,1.8527777777777776,2.362777777777778,0.03666666666666667,0.9583333333333334,1.7616666666666667,0.11222222222222221,8.003611111111125
2016-01-08,35.36388888888889,18.03888888888889,10.330833333333333,2.8852777777777776,7.943888888888888,3.9725,3.3377777777777777,1.811111111111111,0.02666666666666667,1.0166666666666666,2.5383333333333336,0.14722222222222223,12.586944444444443
2016-01-10,38.89933333333333,17.55511111111111,11.588166666666666,3.374222222222222,7.790555555555557,4.671444444444445,2.7778333333333336,2.1133333333333333,0.03166666666666667,2.026666666666667,1.9948333333333335,0.30333333333333334,6.873500000000013
2016-01-11,36.558166666666665,19.400722222222225,11.861,3.753277777777778,6.559444444444444,4.542722222222222,3.2621666666666664,2.415,0.028333333333333332,2.341666666666667,2.4835,1.4508333333333334,5.3431666666666375
2016-01-13,36.214388888888884,17.702833333333334,10.942833333333333,3.410444444444444,10.079444444444443,6.1193333333333335,3.6257222222222225,2.463888888888889,0.018333333333333333,1.65,2.4128333333333334,0.7752777777777777,4.584666666666666
2016-01-17,38.28766666666667,17.50177777777778,11.041500000000001,2.9386666666666663,7.85388888888889,5.0986666666666665,2.5989444444444443,2.1494444444444447,0.03333333333333333,1.9766666666666666,2.5115000000000003,0.4472222222222222,7.5607222222222505
2016-01-18,36.489777777777775,17.477444444444444,11.773833333333332,3.6073333333333326,7.996111111111111,4.559555555555556,2.5815,1.14,0.028333333333333332,2.341666666666667,1.8855,0.8133333333333334,9.305611111111112
2016-01-19,37.8605,18.941166666666668,13.977000000000002,3.281833333333333,7.101666666666667,3.1101666666666663,2.5068333333333332,1.73,0.025,1.595,3.0945,0.7708333333333334,6.005499999999985
2016-01-20,39.69183333333333,14.708722222222223,9.767333333333333,3.475611111111111,7.264444444444443,6.515055555555556,2.5745,2.4166666666666665,0.695,1.615,2.4531666666666667,0.7833333333333333,8.039333333333348
2016-01-21,35.316500000000005,19.37961111111111,11.899055555555558,4.372444444444445,7.775,3.9085555555555556,2.5971666666666664,1.1066666666666667,0.705,1.6616666666666666,1.8651666666666664,0.13583333333333333,9.277333333333333
2016-01-24,37.755944444444445,16.991833333333332,10.78877777777778,3.207166666666667,8.442777777777776,4.626055555555555,2.7499444444444445,1.777777777777778,0.03333333333333333,1.68,2.0985,0.30138888888888893,9.546500000000005
2016-01-26,35.19,14.166111111111114,13.75638888888889,4.341666666666667,8.346666666666666,5.825,1.9730555555555553,1.790555555555556,0.021666666666666667,2.415,2.5975,0.8211111111111111,8.755277777777776
2016-01-27,33.51427777777778,19.8735,11.151277777777777,2.981888888888889,8.459444444444443,4.576333333333333,1.2405,1.74,0.03,1.055,3.1651666666666665,0.7908333333333334,11.421777777777777
2016-01-30,41.64388888888889,18.11,13.62638888888889,5.088611111111111,4.955555555555555,3.8658333333333332,1.9233333333333333,1.755,0.705,1.6966666666666668,3.18,0.7958333333333333,2.653888888888903
2016-01-31,38.492,19.51688888888889,12.398833333333334,3.533444444444444,7.19611111111111,3.2795555555555556,2.653166666666667,1.805,0.03166666666666667,1.7116666666666667,2.6155,0.81,5.956166666666666
2016-02-01,40.13911111111111,14.129777777777777,9.756722222222223,3.008222222222222,8.440555555555557,5.821,2.5985,1.085,0.03166666666666667,2.3016666666666667,2.4745,0.7775,9.435777777777778
2016-02-03,34.473499999999994,17.573722222222223,14.985944444444442,3.8950555555555555,8.85,5.015611111111111,3.0336666666666665,2.2049999999999996,0.3516666666666667,,2.7623333333333333,0.31916666666666665,6.534333333333344
2016-02-04,33.26422222222222,20.038555555555554,17.91161111111111,4.640666666666666,6.257777777777778,3.550111111111111,2.602055555555556,2.1072222222222226,0.02666666666666667,,,,9.601111111111125
2016-02-07,36.789,18.671,15.194333333333331,3.510777777777777,7.66,4.131888888888889,2.560777777777778,1.7294444444444446,0.02666666666666667,,,,9.726111111111125
2016-02-10,36.00822222222222,21.236777777777775,13.783444444444443,2.960333333333333,10.035555555555556,5.936444444444445,2.538111111111111,2.4427777777777777,0.02666666666666667,,,,5.031666666666653
2016-02-11,41.932944444444445,17.43538888888889,11.23177777777778,4.4142222222222225,9.145555555555557,6.552,,,0.051666666666666666,,,,9.236444444444446
2016-02-14,37.90283333333333,18.118277777777777,13.75077777777778,6.217611111111111,7.964444444444445,3.8903888888888885,,,,,,,12.15566666666668
2016-02-15,37.8836111111111,18.555833333333332,15.894444444444444,6.825833333333334,6.012777777777778,4.953055555555555,,,,,,,9.87444444444446
2016-02-16,35.54111111111111,19.063333333333333,13.975,6.466388888888889,9.268888888888888,4.809166666666667,,,,,,,10.876111111111125
2016-02-17,37.63505555555555,18.976611111111108,13.390222222222222,7.159833333333332,9.372777777777777,,,,,,,,13.465499999999986
2016-02-21,36.73783333333333,18.78827777777778,15.15188888888889,7.105666666666666,7.83,,,,,,,,14.386333333333335
