name,date,dropped
Trump,,False
Cruz,,False
Rubio,,False
Kasich,,False
Carson,2016-03-04,True
Bush,2016-02-16,True
Christie,2016-02-10,True
Fiorina,2016-02-10,True
Gilmore,2016-02-12,True
Huckabee,2016-02-01,True
Paul,2016-02-03,True
Santorum,2016-02-03,True
