name,Trump,Cruz,Rubio,Kasich,Carson,Bush,Christie,Fiorina,Gilmore,Huckabee,Paul,Santorum,Undecided
Carson,43.8874,21.29867407407408,12.443674074074071,9.685651851851851,,,,,,,,,12.684600000000025
Bush,36.77976388888889,18.856402777777777,15.899097222222224,7.5812777777777764,7.993027777777779,,,,,,,,12.890430555555557
Christie,37.34395893719807,18.660364734299513,14.053347826086956,6.69088888888889,8.335241545893721,4.605131944444444,,,0.025,,,,10.286066123188402
Fiorina,37.34395893719807,18.660364734299513,14.053347826086956,6.69088888888889,8.335241545893721,4.605131944444444,,,0.025,,,,10.286066123188402
Gilmore,37.084424603174604,18.743511904761903,14.131349206349205,6.80609126984127,8.400952380952381,4.518796296296297,,,,,,,10.314874338624337
Huckabee,35.52938888888889,18.749954545454546,15.871217171717172,3.9541818181818176,7.521212121212122,4.111202020202021,2.639409090909091,1.9174242424242427,0.09848484848484845,,2.8895,0.3641666666666665,6.353858585858587
Paul,38.5102,19.20563333333333,13.269036111111111,3.8309694444444444,8.943555555555557,5.627663888888889,2.5978703703703707,2.1992592592592595,0.025916666666666664,,,,5.789895370370358
Santorum,38.5102,19.20563333333333,13.269036111111111,3.8309694444444444,8.943555555555557,5.627663888888889,2.5978703703703707,2.1992592592592595,0.025916666666666664,,,,5.789895370370358
